LATITUDE,LONGITUDE,esfera,orgao,nome,ramal,endereco,predio,pavto,apto,sn,valor_divida,data_divida,cnpj,competencia,consumidor,orgao_pagador
-30.0078989,   -51.182752,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   128163,   R VINTE CINCO DE JULHO,   46,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   884,   0
-30.0302294,   -51.235527,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   650170,   R SIQUEIRA CAMPOS,   637,   0,   0,   A,   0.0,   2018-10-18 00:00:00,   0,   201810,   2534,   0
-30.0230040,   -51.197208,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   711608,   R VINTE QUATRO DE OUTUBRO,   1168,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3506,   0
-30.0642159,   -51.205824,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   1065394,   AV PROF OSCAR PEREIRA,   44,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   5851,   0
-30.0587149,   -51.193387,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   2107406,   AV BENTO GONCALVES,   2080,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   127833,   0
-30.1129116,   -51.255552,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   2296829,   AV WENCESLAU ESCOBAR,   2815,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   298581,   0
-30.0366892,   -51.206772,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   2391600,   R GIORDANO BRUNO,   345,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   384623,   0
-30.1440255,   -51.214674,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   2864843,   AV JUCA BATISTA,   1414,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   1612131,   0
-30.0081765,   -51.136774,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   2995913,   R ENG UBATUBA DE FARIA,   296,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   1723901,   0
-29.9927283,   -51.128792,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   2996367,   AV VINTE UM DE ABRIL,   41,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   1723995,   0
-30.0401553,   -51.198080,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   3048942,   AV PROTASIO ALVES,   1037,   0,   1,   0,   27.14,   2018-10-18 00:00:00,   0,   201810,   1772414,   0
-30.0401553,   -51.198080,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   3048950,   AV PROTASIO ALVES,   1037,   0,   2,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   1772422,   0
-30.0556682,   -51.217155,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   3062430,   TRAV ALEXANDRINO DE ALENCAR,   71,   0,   0,   0,   543.48,   2018-10-18 00:00:00,   0,   201810,   1800825,   0
-30.0407892,   -51.154373,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   3292185,   AV SATURNINO DE BRITO,   46,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2423103,   0
-30.0574045,   -51.222469,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   3347788,   AV GETULIO VARGAS,   1410,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2546183,   0
-30.1631175,   -51.149802,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   3348008,   ESTR BARRO VERMELHO,   59,   0,   0,   0,   185.51,   2018-10-18 00:00:00,   0,   201810,   2547155,   0
-30.1028646,   -51.239049,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   3359867,   R CAMAQUA,   408,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2572710,   0
-30.0408256,   -51.154300,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   3363970,   AV PROTASIO ALVES,   5718,   0,   0,   2,   0.0,   2018-10-18 00:00:00,   0,   201810,   0,   0
-29.9892537,   -51.110002,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   3511421,   AV BERNARDINO SILVEIRA DE AMORIM,   991,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2827832,   0
-30.0033171,   -51.197147,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   3533174,   R ARABUTAN,   358,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2844958,   0
-29.9852063,   -51.198673,   F,   2291,   EBCT EMP.BRAS.DE CORREIOS E TELEGRAFOS,   3532119,   R FREDERICO MENTZ,   349,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2865742,   0
-30.0255404,   -51.225485,   F,   2330,   MIN.PUBL.FED. PR0CURADORIA DA REP.NO RGS,   649287,   AV MAUA,   1621,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2321,   0
-30.0257376,   -51.225027,   F,   2330,   MIN.PUBL.FED. PR0CURADORIA DA REP.NO RGS,   649350,   PCA RUI BARBOSA,   57,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2330,   0
-30.0257488,   -51.225351,   F,   2330,   MIN.PUBL.FED. PR0CURADORIA DA REP.NO RGS,   649368,   AV JULIO DE CASTILHOS,   160,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2348,   0
-30.0323841,   -51.237228,   F,   2577,   MIN MARINHA-DEL CP RS,   650501,   R ANDRADAS DOS,   386,   0,   1,   0,   71581.88,   2018-10-18 00:00:00,   0,   201810,   2577,   0
-30.0309320,   -51.235798,   F,   2585,   MIN EXERCITO-Q G R\3,   650137,   R SETE DE SETEMBRO,   472,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2526,   0
-30.0315948,   -51.235451,   F,   2585,   MIN EXERCITO-Q G R\3,   650536,   R ANDRADAS DOS,   630,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2593,   0
-30.0643277,   -51.180945,   F,   2585,   MIN EXERCITO-Q G R\3,   1134108,   AV BENTO GONCALVES,   3480,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   6181,   0
-30.0384511,   -51.220271,   F,   2585,   MIN EXERCITO-Q G R\3,   3547485,   R LUIZ AFONSO,   133,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   9606820000104,   201810,   2896567,   0
-30.0385247,   -51.220536,   F,   2585,   MIN EXERCITO-Q G R\3,   3547493,   R LUIZ AFONSO,   143,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   9606820000104,   201810,   2896575,   0
-30.0315948,   -51.235451,   F,   2585,   MIN EXERCITO-Q G R\3,   650528,   R ANDRADAS DOS,   630,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2902680,   0
-30.0445906,   -51.181048,   F,   2585,   MIN EXERCITO-Q G R\3,   3550516,   R LAGOINHA,   155,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2904993,   0
-30.0280632,   -51.223223,   F,   2704,   BANCO CENTRAL DO BRASIL,   658111,   AV ALBERTO BINS,   348,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2704,   0
-30.0271257,   -51.228860,   F,   2909,   INSS INSTITUTO NACIONAL DE SEG. SOCIAL,   649040,   TRAV MARIO CINCO PAUS,   20,   0,   0,   0,   221040.93,   2018-10-18 00:00:00,   0,   201810,   2305,   0
-30.0326512,   -51.228078,   F,   2909,   INSS INSTITUTO NACIONAL DE SEG. SOCIAL,   668125,   R JERONIMO COELHO,   127,   0,   0,   0,   18565.15,   2018-10-18 00:00:00,   0,   201810,   2909,   0
-30.0535335,   -51.204831,   F,   2909,   INSS INSTITUTO NACIONAL DE SEG. SOCIAL,   1070401,   AV BENTO GONCALVES,   867,   0,   0,   0,   6178.14,   2018-10-18 00:00:00,   0,   201810,   5916,   0
-30.0384709,   -51.175479,   F,   2909,   INSS INSTITUTO NACIONAL DE SEG. SOCIAL,   2802848,   AV PROTASIO ALVES,   3550,   0,   0,   0,   16.51,   2018-10-18 00:00:00,   0,   201810,   752851,   0
-30.1102858,   -51.229601,   F,   2909,   INSS INSTITUTO NACIONAL DE SEG. SOCIAL,   3230023,   ESTR VILA MARIA,   265,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2288621,   0
-30.0315318,   -51.220430,   F,   2984,   MIN EDUCACAO - UFCSPA - UNIV FED CIENCIAS SAUDE POA.,   671568,   R SARMENTO LEITE,   245,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   0,   0
-30.0698256,   -51.224786,   F,   2984,   MIN EDUCACAO - UFCSPA - UNIV FED CIENCIAS SAUDE POA.,   3307697,   R CORREA LIMA,   1239,   0,   0,   0,   2406.46,   2018-10-18 00:00:00,   0,   201810,   0,   0
-30.0168503,   -51.101206,   F,   2984,   MIN EDUCACAO - UFCSPA - UNIV FED CIENCIAS SAUDE POA.,   3564223,   R CONCEICAO DA,   434,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   0,   0
-30.0344798,   -51.237700,   F,   3140,   TRE TRIBUNAL REGIONAL ELEITORAL,   675873,   R DUQUE DE CAXIAS,   350,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3140,   0
-30.0605591,   -51.230626,   F,   3140,   TRE TRIBUNAL REGIONAL ELEITORAL,   3110761,   AV PADRE CACIQUE,   112,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   1863959,   0
-30.0062837,   -51.206663,   F,   3140,   TRE TRIBUNAL REGIONAL ELEITORAL,   3644774,   R ERNESTO FONTOURA,   164,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3170578,   0
-30.0344068,   -51.236391,   F,   3190,   JUST.MILIT.FEDERAL-1 AUDITORIA 3 CJM,   678031,   R GEN PORTINHO,   426,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3190,   0
-30.0041469,   -51.206563,   F,   3492,   CIA NACIONAL DE ABASTECIMENTO-CONAB,   63436,   AV MISSOES,   287,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   507,   0
-30.0186451,   -51.198055,   F,   3492,   CIA NACIONAL DE ABASTECIMENTO-CONAB,   709948,   R QUINTINO BOCAIUVA,   57,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3492,   0
-30.0370269,   -51.232330,   F,   3727,   MIN.M. ENERGIA-DNPM-DEP.NAC.PROD.MINERAL,   755346,   R WASHINGTON LUIZ,   815,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3727,   0
-30.0389466,   -51.233860,   F,   3743,   IBGE INST.BRAS.GEO.ESTATISTICA-DELEGACIA,   755362,   AV AUGUSTO DE CARVALHO,   1205,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3743,   0
-30.0337823,   -51.228490,   F,   3743,   IBGE INST.BRAS.GEO.ESTATISTICA-DELEGACIA,   3075079,   R DUQUE DE CAXIAS,   1297,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3743,   0
-30.0382321,   -51.235973,   F,   3751,   MIN.AGRIC.INCRA-INST.NAC.COL.REF.AGRARIA,   755389,   AV LOUREIRO DA SILVA,   515,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3751,   0
-30.0370555,   -51.237331,   F,   3751,   MIN.AGRIC.INCRA-INST.NAC.COL.REF.AGRARIA,   2965682,   AV LOUREIRO DA SILVA,   300,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   1705571,   0
-30.0383363,   -51.233376,   F,   3760,   SERPRO-SERV.FED. PROCESSAMENTO DE DADOS,   755397,   AV AUGUSTO DE CARVALHO,   1133,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3760,   0
-30.0383363,   -51.233376,   F,   3760,   SERPRO-SERV.FED. PROCESSAMENTO DE DADOS,   2928752,   AV AUGUSTO DE CARVALHO,   1133,   99,   1,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   1739328,   0
-30.0383363,   -51.233376,   F,   3760,   SERPRO-SERV.FED. PROCESSAMENTO DE DADOS,   2928744,   AV AUGUSTO DE CARVALHO,   1133,   0,   0,   A,   0.0,   2018-10-18 00:00:00,   0,   201810,   1739344,   0
-30.0380854,   -51.236637,   F,   3778,   MIN DA FAZENDA,   755400,   AV LOUREIRO DA SILVA,   445,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3778,   0
-30.0380854,   -51.236637,   F,   3778,   MIN DA FAZENDA,   2141760,   AV LOUREIRO DA SILVA,   445,   0,   0,   A,   0.0,   2018-10-18 00:00:00,   0,   201810,   161071,   0
-30.0382321,   -51.118900,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   640190,   AV PROTASIO ALVES,   9339,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2186,   0
-30.0291859,   -51.223315,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   661155,   R SENHOR DOS PASSOS,   248,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2739,   0
-30.0291859,   -51.223315,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   661163,   R SENHOR DOS PASSOS,   248,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2739,   0
-30.0306252,   -51.224207,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   664910,   R GEN VITORINO,   255,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2755,   0
-30.0414069,   -51.216104,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   671738,   AV JOAO PESSOA,   99999,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   2992,   0
-30.0329575,   -51.222363,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   671746,   AV JOAO PESSOA,   52,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3000,   0
-30.0334258,   -51.222254,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   671754,   AV JOAO PESSOA,   116,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3018,   0
-30.0336295,   -51.215284,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   671770,   AV OSVALDO ARANHA,   99999,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3034,   0
-30.0323044,   -51.221418,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   671789,   AV OSVALDO ARANHA,   99,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3042,   0
-30.0336295,   -51.215284,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   671797,   AV OSVALDO ARANHA,   99999,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3050,   0
-30.0328819,   -51.221318,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   671800,   R SARMENTO LEITE,   425,   0,   0,   A,   0.0,   2018-10-18 00:00:00,   0,   201810,   3069,   0
-30.0328819,   -51.221318,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   671819,   R SARMENTO LEITE,   425,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3069,   0
-30.0331424,   -51.223608,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   691534,   AV DESEMBARGADOR ANDRE DA ROCHA,   70,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   0,   0
-30.0331122,   -51.223225,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   691577,   AV JOAO PESSOA,   41,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3417,   0
-30.0372151,   -51.231515,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   755354,   R WASHINGTON LUIZ,   855,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3735,   0
-30.0339025,   -51.221222,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   755508,   R SARMENTO LEITE,   500,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3840,   0
-30.0345868,   -51.218116,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   755516,   R ENG LUIZ ENGLERT,   18,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3840,   0
-30.0331253,   -51.220737,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   755524,   R SARMENTO LEITE,   426,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3859,   0
-30.0328223,   -51.220460,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   755532,   R SARMENTO LEITE,   320,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3867,   0
-30.0327799,   -51.219536,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   755540,   AV OSVALDO ARANHA,   277,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3875,   0
-30.0344111,   -51.219289,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   755559,   R ENG LUIZ ENGLERT,   134,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3883,   0
-30.0339219,   -51.218914,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   755567,   PRQ PAULO GAMA,   110,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   0,   0
-30.0352503,   -51.218917,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   755575,   R ENG LUIZ ENGLERT,   84,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   3905,   0
-30.0781456,   -51.119246,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   878944,   AV BENTO GONCALVES,   9802,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   4260,   0
-30.0762408,   -51.126986,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   878952,   AV BENTO GONCALVES,   9090,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   4278,   0
-30.0766027,   -51.124262,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   878960,   AV BENTO GONCALVES,   9320,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   4286,   0
-30.0761954,   -51.130537,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   878979,   AV BENTO GONCALVES,   8804,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   4294,   0
-30.0757732,   -51.132163,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   878987,   AV BENTO GONCALVES,   8670,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   4308,   0
-30.0699227,   -51.141884,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   879002,   AV BENTO GONCALVES,   7712,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   4324,   0
-30.0699227,   -51.141884,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   879010,   AV BENTO GONCALVES,   7712,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   4324,   0
-30.0699227,   -51.141884,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   879029,   AV BENTO GONCALVES,   7712,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   4332,   0
-30.0690517,   -51.142940,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   879037,   AV BENTO GONCALVES,   7570,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   4340,   0
-30.0485483,   -51.179505,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   960748,   R DR SALVADOR FRANCA,   1700,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   4596,   0
-30.0509476,   -51.182541,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   960772,   R FELIZARDO,   750,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   4600,   0
-30.0424243,   -51.208890,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   983047,   R JACINTO GOMES,   540,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   4839,   0
-30.0434831,   -51.208568,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   983357,   R JACINTO GOMES,   700,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   4847,   0
-30.0434831,   -51.208568,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   983365,   R JACINTO GOMES,   700,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   4847,   0
-30.0421851,   -51.207429,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   983403,   R RAMIRO BARCELOS,   2600,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   4855,   0
-30.0404874,   -51.207528,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   983411,   R RAMIRO BARCELOS,   2492,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   4863,   0
-30.0389094,   -51.205136,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   983446,   R SAO MANOEL,   573,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   4898,   0
-30.0428436,   -51.205946,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   983462,   AV IPIRANGA,   2752,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   4910,   0
-30.0787897,   -51.116881,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   1225162,   AV BENTO GONCALVES,   10600,   0,   0,   0,   0.0,   2018-10-18 00:00:00,   0,   201810,   6475,   0
-30.0699227,   -51.141884,   F,   3883,   UFRGS UNIVERSIDADE FEDERAL RGS-REITORIA,   2111454,   AV BENTO GONCALVES,   7712,   0,   0,   A,   0.0,   2018-10-18 00:00:00,   0,   201810,   132195,   0
